Model type,Model Knowledge,Tree number,Actual sensitivity one,Actual sensitivity two,Actual specificity one,Actual specificity two,Sensitivity Error,Specificity Error,Low Prevalence,High Prevalence,Covdp,Covdp max,Covdp min,Covdn,Covdn max,Covdn min
no cov,Good one,100,0.869318182,0.713286713,0.590909091,0.613053613,0.166312039,0.057559678,0.22,0.56,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.737068966,0.967957746,0.847126437,0.840492958,0.063978679,0.104624202,0.29,0.6,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.769476373,0.897586432,0.582056194,0.7987606,0.112642549,0.046163487,0.27,0.58,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.734192037,0.779380342,0.845140515,0.813034188,0.016857962,0.003809335,0.28,0.61,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.827047146,0.813250518,0.73325062,1,0.019174249,0.153478332,0.31,0.65,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.693333333,0.738717949,0.439583333,0.759487179,0.110827431,0.065968293,0.25,0.48,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.74417521,0.849206349,0.713420317,0.706349206,0.090854835,0.072660029,0.37,0.58,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.848557692,0.856981982,0.859975962,0.931681682,0.069677396,0.092294234,0.26,0.64,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.535181237,0.849116162,0.588752665,0.871212121,0.0814408,0.078608966,0.28,0.67,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.667067308,0.985294118,0.662259615,0.915441176,0.048932122,0.026166861,0.32,0.52,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.3415625,0.972777778,0.6515625,0.965555556,0.061768597,0.067792142,0.25,0.64,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.416666667,1,0.685515873,0.919630156,0.054087806,0.01101852,0.24,0.63,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.714285714,0.823611111,0.455952381,0.972222222,0.014538398,0.224803614,0.28,0.6,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.574315515,0.857943309,0.60202086,0.856460119,0.064261126,0.074144945,0.26,0.59,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.824074074,0.880539887,0.654882155,0.80016116,0.081323907,0.000526276,0.27,0.66,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.887992832,0.906272531,0.802568698,0.940519106,0.019837021,0.03883498,0.27,0.62,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.692665572,0.82032737,0.602627258,0.842025124,0.041762598,0.101945439,0.29,0.63,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.617147708,0.904074703,0.649405772,0.986842105,0.028769007,0.169461643,0.38,0.62,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.356410256,0.885714286,0.65,0.75,0.159578038,0.024291431,0.3,0.65,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.566451613,0.82122807,0.542580645,0.920350877,0.049981018,0.003080873,0.25,0.62,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.869328494,0.974287586,0.530852995,0.967245332,0.049136449,0.102016995,0.29,0.57,NA,NA,NA,NA,NA,NA
no cov,Good both,100,0.509696017,0.915558511,0.578092243,0.847406915,0.065190343,0.037004203,0.36,0.53,NA,NA,NA,NA,NA,NA
